id,company_name,website_url,headquarters_location,facility_size_sqft,certifications_held,primary_business_type,materials_handled,contact_email,contact_phone,key_personnel,year_established,thomasnet_profile_url,data_source,last_updated
2,"Fabricon International, Inc.",https://www.fabriconintl.com/,"Beaumont, TX 77720",,"[""ASME""]",Custom Manufacturer,"[""carbon steel"", ""stainless steel"", ""titanium"", ""Monel\u00ae"", ""Hastelloy\u00ae"", ""Inconel\u00ae"", ""nickel alloys""]",,,[],1976,https://www.thomasnet.com/suppliers/southern-texas/all-cities/asme-code-pressure-vessels-91721100,Thomasnet,2026-06-17 03:51:55
3,"Becker & Associates, Inc.",http://catalog.beckerandassociates.com/,"East Dundee, IL 60118",,[],Distributor,[],,(630) 629-9440,[],,https://www.thomasnet.com/company/becker-associates-inc-453572/catalog/category/2283-1129,Thomasnet,2026-06-17 03:52:03
4,"Base Construction, Inc.",http://www.BaseconstructionCA.com,"Buena Park, CA 90621",,[],Industrial Contracting Services,"[""Concrete"", ""Structural steel"", ""Electrical components"", ""Insulated metal panels (IMP)"", ""Process piping""]",,949-387-3471,[],1998,https://www.thomasnet.com/suppliers/usa/construction-management-services-1135,Thomasnet,2026-06-17 03:52:40
5,McNeil Inc. - McNeil Sales & Service Inc.,https://mcneilusa.com/,"Robbinsville, NJ 08691",,"[""ASME"", ""ISO 9000"", ""ISO 45001""]",Custom Manufacturer,"[""Heat management"", ""Refractory construction"", ""Installation services""]",,,[],1937,https://www.thomasnet.com/suppliers/south-carolina/all-cities/industrial-contractors-6959,Thomasnet,2026-06-17 03:52:33
7,"NDT Specialists, Inc.",https://www.ndtspecialists.com/industries-served/weld-quality,"Oak Creek, WI 53154",,"[""Mil-Spec"", ""ASME"", ""AWS"", ""API"", ""ASTM""]",Service Company,[],,,[],1988,https://www.thomasnet.com/suppliers/usa/welder-certification-testing-services-84865005,Thomasnet,2026-06-17 03:52:48
8,"Walter Long Manufacturing Co., Inc.",https://www.walterlongmanufacturing.com/index.html,"Finleyville, PA 15332",,[],Custom Manufacturer,"[""abrasion resistant plate"", ""aluminum"", ""carbon steel"", ""stainless steel""]",,(724) 348-6631,"[""Robert Long, VP""]",1898,https://www.thomasnet.com/company/walter-long-manufacturing-co-inc-160138/profile,Thomasnet,2026-06-17 03:53:00
9,"Loper and Slag, LLC",https://loperandslag.com/,"Portland, OR 97227",,[],Custom Manufacturer,"[""metal"", ""wood""]",,(503) 473-8515,"[""Jayme Bowens, Project Mgr.""]",2018,https://www.thomasnet.com/company/loper-and-slag-llc-30970168/profile,Thomasnet,2026-06-17 03:53:10
38,"Johnson Controls, Inc.",,"Tampa, FL",,[],,[],,,[],,https://www.thomasnet.com/company/johnson-controls-inc-10020659/profile,Thomasnet:asme-code-pressure-vessels:florida,2026-06-17 03:43:30
39,MISTRAS Services,,"Acworth, GA",,[],,[],,,[],,https://www.thomasnet.com/company/mistras-services-1303276/profile,Thomasnet:asme-code-pressure-vessels:georgia,2026-06-17 03:43:28
41,Mitternight INC,,"Satsuma, AL",,[],,[],,,[],,https://www.thomasnet.com/company/mitternight-inc-890415/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
42,Advance Tank & Construction,,"Wellington, CO",,[],,[],,,[],,https://www.thomasnet.com/company/advance-tank-construction-1168060/profile,Thomasnet:asme-code-pressure-vessels:colorado,2026-06-17 03:48:40
43,"Arc Controls, Inc.",,"Mobile, AL",,[],,[],,,[],,https://www.thomasnet.com/company/arc-controls-inc-890440/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
44,"Sue-Jac, Inc.",,"Decatur, AL",,[],,[],,,[],,https://www.thomasnet.com/company/sue-jac-inc-883838/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
45,Addison Fabricators INC,,"Addison, AL",,[],,[],,,[],,https://www.thomasnet.com/company/addison-fabricators-inc-1284025/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
46,Alabama Heat Exchangers INC,,"Theodore, AL",,[],,[],,,[],,https://www.thomasnet.com/company/alabama-heat-exchangers-inc-889572/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
47,Hanwha Cimarron,,"Huntsville, AL",,[],,[],,,[],,https://www.thomasnet.com/company/hanwha-cimarron-30944047/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
48,Blake Pendleton INC,,"Macon, GA",,[],,[],,,[],,https://www.thomasnet.com/company/blake-pendleton-inc-914111/profile,Thomasnet:asme-code-pressure-vessels:georgia,2026-06-17 03:43:28
49,"Feldmeier Equipment, Inc.",,"Montgomery, AL",,[],,[],,,[],,https://www.thomasnet.com/company/feldmeier-equipment-inc-1236200/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
50,Lape Industrial Fiberglass INC,,"Grand Bay, AL",,[],,[],,,[],,https://www.thomasnet.com/company/lape-industrial-fiberglass-inc-10083368/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
52,"Hubbell Power Systems, Inc.",,"Leeds, AL",,[],,[],,,[],,https://www.thomasnet.com/company/hubbell-power-systems-inc-22875/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
53,Rolls-Royce Corp.,,"Huntsville, AL",,[],,[],,,[],,https://www.thomasnet.com/company/rolls-royce-corp-30080472/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
