id,company_name,website_url,headquarters_location,facility_size_sqft,certifications_held,primary_business_type,materials_handled,contact_email,contact_phone,key_personnel,year_established,thomasnet_profile_url,data_source,last_updated,completeness_status,confidence_level,data_provenance
2,"Fabricon International, Inc",https://www.fabriconintl.com/,"Beaumont, TX 77720",Size not specified,"[""ASME""]",Custom Manufacturer,"[""carbon steel"", ""stainless steel"", ""titanium"", ""Monel\u00ae"", ""Hastelloy\u00ae"", ""Inconel\u00ae"", ""nickel alloys""]",Email not provided,630.629.9440,[],1976,https://www.thomasnet.com/suppliers/southern-texas/all-cities/asme-code-pressure-vessels-91721100,Thomasnet,2026-06-17 04:44:27,verified,partial,"{""company_name"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}}"
3,"Becker & Associates, Inc",http://catalog.beckerandassociates.com/,"East Dundee, IL 60118",,[],Distributor,"[""Absorbents"", ""Absorbents/Wipes"", ""Air Intake Filters"", ""Aircraft Refueling Equipment"", ""Aviation Hose Reels"", ""Aviation Refueling Equipment"", ""Aviation Refueling Nozzles"", ""Aviation equipment"", ""Bag Filters"", ""Breathers"", ""Carbon Filters"", ""Clay Filters"", ""Clay Treators"", ""Coalescer/Separator"", ""Desicant"", ""Filter Vessels"", ""Filter Vessels & Accessories"", ""Filters"", ""Fuel Monitors"", ""Fuel Quality Control Testing Equipment"", ""Hose Reels"", ""Hydraulic Filters"", ""Industrial filters"", ""Liquid/Liquid Filter Vessels"", ""Meters & Registers"", ""Natural Gas Filters"", ""Power generation filters"", ""Q-Cel Absorbents"", ""Refueling Equipment"", ""Repair Service for Nozzles and Couplers"", ""Replacement Cartridges"", ""Single Stage Coalescers"", ""Sintered Stainless Steel Filter Elements"", ""Spill Kits"", ""Stainless Steel"", ""String Wound Filters"", ""Synthetic Filter Elements"", ""Water Absorbent Filters""]",,(630) 629-9440,[],1937,https://www.thomasnet.com/company/becker-associates-inc-453572/catalog/category/2283-1129,Thomasnet,2026-06-17 05:10:02,verified,partial,"{""company_name"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}}"
4,"Base Construction, Inc",http://www.BaseconstructionCA.com,"Buena Park, CA 90621",,[],Industrial Contracting Services,"[""Concrete"", ""Electrical components"", ""Insulated metal panels (IMP)"", ""Piping"", ""Plastic"", ""Process piping"", ""Steel"", ""Structural steel""]",Not provided,949-387-3471,[],1998,https://www.thomasnet.com/suppliers/usa/construction-management-services-1135,Thomasnet,2026-06-17 04:44:27,verified,partial,"{""company_name"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}}"
5,McNeil Inc. - McNeil Sales & Service Inc,https://mcneilusa.com/,"Robbinsville, NJ 08691",not specified,"[""ASME"", ""ISO 9000"", ""ISO 45001""]",Custom Manufacturer,"[""Heat management"", ""Refractory construction"", ""Installation services""]",not specified,6098907007,[],1937,https://www.thomasnet.com/suppliers/south-carolina/all-cities/industrial-contractors-6959,Thomasnet,2026-06-17 04:38:42,verified,partial,"{""company_name"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}}"
7,"NDT Specialists, Inc",https://www.ndtspecialists.com/industries-served/weld-quality,"Oak Creek, WI 53154","30,000","[""Mil-Spec"", ""ASME"", ""AWS"", ""API"", ""ASTM""]",Service Company,"[""Automotive"", ""Casting"", ""Casting / Forgings"", ""Food & Non-Industrial Applications"", ""Forgings"", ""Foundry Applications"", ""Manufactured Items"", ""Metal Fabrication & Welding Applications"", ""Metal Rolls"", ""Metal Rolls / Plates"", ""Pipes"", ""Plastic"", ""Plastics"", ""Plates"", ""Pressure Vessels"", ""Sintered Metal Products"", ""Structural"", ""Tanks / Pressure Vessels"", ""Weld Quality"", ""Weldments""]",,724.348.6631,[],1988,https://www.thomasnet.com/suppliers/usa/welder-certification-testing-services-84865005,Thomasnet,2026-06-17 05:01:47,verified,partial,"{""company_name"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}}"
8,"Walter Long Manufacturing Co., Inc",https://www.walterlongmanufacturing.com/index.html,"Finleyville, PA 15332","30,000 sq ft",[],Custom Manufacturer,"[""abrasion resistant plate"", ""aluminum"", ""carbon steel"", ""stainless steel""]",ca@asme.org,(724) 348-6631,"[""Robert Long, VP""]",1898,https://www.thomasnet.com/company/walter-long-manufacturing-co-inc-160138/profile,Thomasnet,2026-06-17 04:33:45,verified,partial,"{""company_name"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""key_personnel"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}}"
9,"Loper and Slag, LLC",https://loperandslag.com/,"Portland, OR 97227","200,000","[""ASTM A1097"", ""ASTM A139"", ""ASTM A252"", ""AWWA C200""]",Custom Manufacturer,"[""Steel Pipe"", ""metal"", ""wood""]",Not provided,(503) 473-8515,"[""Jayme Bowens, Project Mgr."", ""Not specified""]",2018,https://www.thomasnet.com/company/loper-and-slag-llc-30970168/profile,Thomasnet,2026-06-17 04:43:43,verified,partial,"{""company_name"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}, ""key_personnel"": {""source"": ""Thomasnet"", ""date"": ""2026-06-17""}}"
47,Hanwha Cimarron,https://hanwhacimarron.com,"Huntsville, AL",,[],Energy Storage Solutions,"[""Fuel"", ""Gas"", ""Plastics"", ""Powders"", ""Sludges"", ""Slurries""]",,405-376-2400,[],,https://www.thomasnet.com/company/hanwha-cimarron-30944047/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 04:48:20,verified,partial,"{""company_name"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}}"
132,Alabama Heat Exchangers,https://braskinc.com/,"Pearland, TX","200,000 sq ft","[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Helixchangers"", ""Helixchangers\u00ae"", ""High Pressure Exchangers"", ""Shell & Tube Heat Exchangers"", ""Shell and Tube Heat Exchangers"", ""Stainless Steel"", ""Transfer Line Exchanger"", ""Transfer Line Exchanger Revamps""]",,,[],1974,,TEMA,2026-06-17 05:02:51,verified,verified,"{""company_name"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}}"
133,"Brask Inc, The Heat Exchanger People",https://nikkisoceig.com/,New Jersey,,"[""ASME"", ""DOE"", ""NUPIC"", ""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel"", ""corrosion resistant alloys""]",,6788383678,[],,,TEMA,2026-06-17 04:32:26,verified,verified,"{""company_name"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}}"
